imageID	platePosition	drugIDforPlating	foldIC50	Product.Name	Class	Targets	MedianIC50	anyBeating	fractionBeating	anyBlebbing	fractionBlebbing	confluency	notes
15	F_6	d2	100x	Dasatinib	kinase	"Bcr-Abl,c-Kit,Src"	1	1	1	1	0.1	1	double-beating (beat-beat-pause) with some black foci
16	F_7	d16	20x	SB216763	kinase	GSK-3	34.3	1	0.9	0	0	1	irregular
17	F_8	DMSOonly	control	NA	NA	NA	NA	0	0	1	0.3	0.9	slightly out of focus
18	F_9	d21	20x	SB203580	kinase	p38 MAPK	400	0	0	1	0.05	0.95	slightly out of focus
19	F_10	d5	20x	Rapamycin (Sirolimus)	kinase	"Autophagy,mTOR"	1	1	1	0	0	0.95	NA
20	F_11	DMSOHeLa	HeLa	NA	NA	NA	NA	1	0.2	1	0.9	0.4	patchy confluency -- looks like patches of good cells are on periphery of present FOV
21	E_11	d13	100x	Lapatinib (GW-572016) Ditosylate	kinase	"HER2,EGFR"	10	0	0	1	0.8	0.6	gravelly appearance
22	E_10	DMSOHeLa	HeLa	NA	NA	NA	NA	1	0.7	0	0	1	NA
23	E_9	d23	1x	PI-103	kinase	"PI3K,Autophagy,DNA-PK,mTOR"	16	1	0.8	1	0.1	0.9	slightly out of focus
24	E_8	DMSOonly	control	NA	NA	NA	NA	1	0.9	1	0.6	0.9	patchy confluency -- looks like patches of good cells are on periphery of present FOV
25	E_7	d2	1x	Dasatinib	kinase	"Bcr-Abl,c-Kit,Src"	1	1	0.9	1	0.05	1	irregular
26	E_6	d5	20x	Rapamycin (Sirolimus)	kinase	"Autophagy,mTOR"	1	1	1	0	0	1	NA
27	E_5	d7	100x	Crizotinib (PF-02341066)	kinase	"c-Met,ALK"	24	1	1	1	0.05	1	NA
28	E_4	DMSOonly	control	NA	NA	NA	NA	1	1	0	0	1	NA
29	E_3	d5	100x	Rapamycin (Sirolimus)	kinase	"Autophagy,mTOR"	1	1	1	0	0	1	a couple black foci
30	E_2	d24	100x	Foretinib (GSK1363089)	kinase	"VEGFR,c-Met"	0.7	1	0.9	0	0	1	crud in top left of FOV
31	D_2	d19	20x	FLI-06	GPCR	Notch	2300	1	0.1	0	0	1	miniscule amounts of beating
32	D_3	d16	20x	SB216763	kinase	GSK-3	34.3	1	0.1	1	0.1	1	miniscule amounts of beating
33	D_4	d19	1x	FLI-06	GPCR	Notch	2300	1	0.5	1	0.05	1	NA
34	D_5	d17	20x	GSK1838705A	kinase	"IGF-1R,ALK"	1	1	1	1	0.05	1	irregular
35	D_6	d5	1x	Rapamycin (Sirolimus)	kinase	"Autophagy,mTOR"	1	1	0.9	0	0	1	NA
36	D_7	d2	20x	Dasatinib	kinase	"Bcr-Abl,c-Kit,Src"	1	1	0.9	0	0	1	NA
37	D_8	d20	20x	Allopurinol	GPCR	OX Receptor	7800	1	0.05	1	0.9	0.3	patches of confluency with little beating
38	D_9	d2	100x	Dasatinib	kinase	"Bcr-Abl,c-Kit,Src"	1	1	0.9	1	0.05	0.95	irregular
39	D_10	d24	1x	Foretinib (GSK1363089)	kinase	"VEGFR,c-Met"	0.7	1	0.9	0	0	1	irregular
40	D_11	d20	1x	Allopurinol	GPCR	OX Receptor	7800	0	0	1	0.9	0.6	large blebs
41	C_11	d16	100x	SB216763	kinase	GSK-3	34.3	1	0.5	1	0.3	0.8	patches of low confluency
42	C_10	d13	1x	Lapatinib (GW-572016) Ditosylate	kinase	"HER2,EGFR"	10	0	0	0	0	0.95	gravelly appearance
43	C_9	DMSOHeLa	HeLa	NA	NA	NA	NA	1	1	0	0	1	NA
44	C_8	d21	100x	SB203580	kinase	p38 MAPK	400	1	0.6	1	0.5	0.7	diffuse blebbing
45	C_7	d13	20x	Lapatinib (GW-572016) Ditosylate	kinase	"HER2,EGFR"	10	1	0.3	0	0	1	NA
46	C_6	d16	100x	SB216763	kinase	GSK-3	34.3	1	0.9	0	0	1	NA
47	C_5	d15	100x	"Cabozantinib (XL184, BMS-907351)"	kinase	"FLT3,Tie-2,c-Kit,c-Met,VEGFR,Axl"	7	1	1	0	0	1	NA
48	C_4	d7	20x	Crizotinib (PF-02341066)	kinase	"c-Met,ALK"	24	1	1	0	0	1	NA
49	C_3	DMSOonly	control	NA	NA	NA	NA	0	0	0	0	1	few dark foci interspersed
50	C_2	DMSOonly	control	NA	NA	NA	NA	1	1	1	0.1	1	one patch of blebbing but beating cells
51	B_2	d14	1x	"Dovitinib (TKI-258, CHIR-258)"	kinase	"FGFR,FLT3,c-Kit,VEGFR,PDGFR"	5	1	0.9	1	0.05	1	NA
52	B_3	d15	100x	"Cabozantinib (XL184, BMS-907351)"	kinase	"FLT3,Tie-2,c-Kit,c-Met,VEGFR,Axl"	7	0	0	1	0.1	0.9	somewhat gravelly appearance
53	B_4	d15	20x	"Cabozantinib (XL184, BMS-907351)"	kinase	"FLT3,Tie-2,c-Kit,c-Met,VEGFR,Axl"	7	0	0	0	0	1	somewhat gravelly appearance
54	B_5	d21	100x	SB203580	kinase	p38 MAPK	400	1	0.7	0	0	1	NA
55	B_6	d21	1x	SB203580	kinase	p38 MAPK	400	1	0.9	1	0.05	1	irregular
56	B_7	d23	100x	PI-103	kinase	"PI3K,Autophagy,DNA-PK,mTOR"	16	1	0.9	0	0	1	NA
57	B_8	d21	1x	SB203580	kinase	p38 MAPK	400	0	0	1	0.8	0.6	patchy confluency -- looks like patches of good cells are on periphery of present FOV
58	B_9	d18	1x	AG-490 (Tyrphostin B42)	kinase	"JAK,EGFR"	100	0	0	1	0.1	0.9	patches of low confluency
59	B_10	DMSOonly	control	NA	NA	NA	NA	1	1	0	0	1	NA
60	B_11	d14	100x	"Dovitinib (TKI-258, CHIR-258)"	kinase	"FGFR,FLT3,c-Kit,VEGFR,PDGFR"	5	0	0	1	0.4	0.8	patches of low confluency
