imageID	platePosition	drugID	Product.Name	Class	Targets	medianIC50..nM.	InfoFromSelleckchem	anyBlebbing	fractionBlebbing	confluency	looksLikeControl	notes
11	F_11	d18	AG-490 (Tyrphostin B42)	kinase	"JAK,EGFR"	100	"AG-490 (Tyrphostin B42) is an inhibitor of EGFR with IC50 of 0.1 ’_Î_M, 135-fold more selective for EGFR versus ErbB2, also inhibits JAK2 with no activity to Lck, Lyn, Btk, Syk and Src."	1	0.05	0.98	0	somewhat spindlier than controls
12	F_10	d19	FLI-06	GPCR	Notch	2300	FLI-06 is a novel inhibitor of Notch signaling with EC50 of 2.3 ’_Î_M.	1	1	0.3	0	pretty messed up
13	F_9	d14	"Dovitinib (TKI-258, CHIR-258)"	kinase	"FGFR,FLT3,c-Kit,VEGFR,PDGFR"	5	"Dovitinib (TKI258, CHIR258) is a multitargeted RTK inhibitor, mostly for class III (FLT3/c-Kit) with IC50 of 1 nM/2 nM, also potent to class IV (FGFR1/3) and class V (VEGFR1-4) RTKs with IC50 of 8-13 nM, less potent to InsR, EGFR, c-Met, EphA2, Tie2, IGF-1R and HER2. Phase 4."	1	0.6	0.9	0	large blebs
14	F_8	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
15	F_7	d33	CYC116	kinase	"Aurora Kinase,VEGFR"	9	"CYC116 is a potent inhibitor of Aurora A/B with Ki of 8.0 nM/9.2 nM, is less potent to VEGFR2 (Ki of 44 nM), with 50-fold greater potency than CDKs, not active against PKA, Akt/PKB, PKC, no effect on GSK-3’_Î±/’_Î_, CK2, Plk1 and SAPK2A. Phase 1."	0	0	1	1	looks pretty normal
16	F_6	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
17	F_5	d17	GSK1838705A	kinase	"IGF-1R,ALK"	1	"GSK1838705A is a potent IGF-1R inhibitor with IC50 of 2.0 nM, modestly potent to IR and ALK with IC50 of 1.6 nM and 0.5 nM, respectively, and little activity to other protein kinases."	0	0	0.95	0	looks pretty normal but one patch of no cells
18	F_4	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
19	F_3	d13	Lapatinib (GW-572016) Ditosylate	kinase	"HER2,EGFR"	10	"Lapatinib Ditosylate (GW572016, GW2016) is a potent EGFR and ErbB2 inhibitor with IC50 of 10.8 and 9.2 nM, respectively."	0	0	1	1	looks pretty normal
20	F_2	d31	JNJ-38877605	kinase	c-Met	4	"JNJ-38877605 is an ATP-competitive inhibitor of c-Met with IC50 of 4 nM, 600-fold selective for c-Met than 200 other tyrosine and serine-threonine kinases. Phase 1."	0	0	1	1	looks pretty normal
21	E_11	d24	Foretinib (GSK1363089)	kinase	"VEGFR,c-Met"	0.7	"Foretinib (GSK1363089) is an ATP-competitive inhibitor of HGFR and VEGFR, mostly for Met and KDR with IC50 of 0.4 nM and 0.9 nM. Less potent against Ron, Flt-1/3/4, Kit, PDGFR’_Î±/’_Î_ and Tie-2, and little activity to FGFR1 and EGFR. Phase 2."	1	0.1	1	0	looks ok but lots of crud between objective and well impairing image
22	E_10	DMSOHeLa	NA	NA	NA	NA	NA	0	0	0.7	0	NA
23	E_9	d21	SB203580	kinase	p38 MAPK	400	"SB203580 is a p38 MAPK inhibitor with IC50 of 0.3-0.5 ’_Î_M, 10-fold less sensitive to SAPK3(106T) and SAPK4(106T) and blocks PKB phosphorylation with IC50 of 3-5 ’_Î_M."	1	0	0.95	0	disorganized
24	E_8	d2	Dasatinib	kinase	"Bcr-Abl,c-Kit,Src"	1	"Dasatinib is a novel, potent and multi-targeted inhibitor that targets Abl, Src and c-Kit, with IC50 of ’ÀÎ_–1 nM, 0.8 nM and 79 nM, respectively."	1	0.2	0.8	0	some spindly and patches of no cells
25	E_7	d32	Triciribine	kinase	Akt	130	"Triciribine is a DNA synthesis inhibitor, also inhibits Akt and HIV-1 with IC50 of 130 nM and 20 nM, respectively; does not inhibit PI3K/PDK1; 5000-fold less active in cells lacking adenosine kinase. Phase 1/2."	0	0	1	1	looks pretty normal
26	E_6	d13	Lapatinib (GW-572016) Ditosylate	kinase	"HER2,EGFR"	10	"Lapatinib Ditosylate (GW572016, GW2016) is a potent EGFR and ErbB2 inhibitor with IC50 of 10.8 and 9.2 nM, respectively."	0	0	1	1	looks pretty normal
27	E_5	DMSOHeLa	NA	NA	NA	NA	NA	0	0	0.7	0	NA
28	E_4	DMSOHeLa	NA	NA	NA	NA	NA	0	0	0.7	0	NA
29	E_3	d16	SB216763	kinase	GSK-3	34.3	SB216763 is a potent and selective GSK-3 inhibitor with IC50 of 34.3 nM for GSK-3’_Î± and equally effective at inhibiting human GSK-3’_Î_.	1	0.3	0.9	0	patches of blebby cells
30	E_2	d26	Torin 2	kinase	"ATM/ATR,mTOR"	discuss	"Torin 2 is a potent and selective mTOR inhibitor with IC50 of 0.25 nM; 800-fold greater selectivity for mTOR than PI3K and improved pharmacokinetic properties. Inhibition of ATM/ATR/DNA-PK with EC50 of 28 nM/35 nM/118 nM, respectively."	0	0	1	0	cells narrower than normal
31	D_11	d20	Allopurinol	GPCR	OX Receptor	7800	Allopurinol (Zyloprim) is a xanthine oxidase inhibitor with an IC50 of 7.82’äÎ±0.12 ’_Î_M.	0	0	1	0	cells gravelly and less uniform
32	D_10	d30	OSI-930	kinase	"c-Kit,CSF-1R,VEGFR"	15	"OSI-930 is a potent inhibitor of Kit, KDR and CSF-1R with IC50 of 80 nM, 9 nM and 15 nM, respectively; also potent to Flt-1, c-Raf and Lck and low activity against PDGFR’_Î±/’_Î_, Flt-3 and Abl. Phase 1."	1	0.2	0.8	0	some patches of no cells and blebby cells
33	D_9	d23	PI-103	kinase	"PI3K,Autophagy,DNA-PK,mTOR"	16	"PI-103 is a multi-targeted PI3K inhibitor for p110’_Î±/’_Î_/’_Î‚/’_Î_ with IC50 of 2 nM/3 nM/3 nM/15 nM, less potent to mTOR/DNA-PK with IC50 of 30 nM/23 nM."	1	0.1	0.95	0	one patch of blebby
34	D_8	d3	Erlotinib HCl (OSI-744)	kinase	"Autophagy,EGFR"	2	"Erlotinib HCl (OSI-744) is an EGFR inhibitor with IC50 of 2 nM, >1000-fold more sensitive for EGFR than human c-Src or v-Abl. Phase 3."	0	0	1	0	cells gravelly and less uniform
35	D_7	d20	Allopurinol	GPCR	OX Receptor	7800	Allopurinol (Zyloprim) is a xanthine oxidase inhibitor with an IC50 of 7.82’äÎ±0.12 ’_Î_M.	0	0	1	0	cells gravelly and less uniform
36	D_6	d29	BMS-777607	kinase	"Axl,c-Met"	3	"BMS-777607 is a Met-related inhibitor for c-Met, Axl, Ron and Tyro3 with IC50 of 3.9 nM, 1.1 nM, 1.8 nM and 4.3 nM, 40-fold more selective for Met-related targets versus Lck, VEGFR-2, and TrkA/B, and more than 500-fold greater selectivity versus all other receptor and non receptor kinases. Phase 1/2."	0	0	1	0	slightly disorganized
37	D_5	d16	SB216763	kinase	GSK-3	34.3	SB216763 is a potent and selective GSK-3 inhibitor with IC50 of 34.3 nM for GSK-3’_Î± and equally effective at inhibiting human GSK-3’_Î_.	1	0.2	0.9	0	patches of blebby cells and no cells
38	D_4	d28	Y-27632 2HCl	kinase	"Autophagy,ROCK"	140	"Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM, exhibits >200-fold selectivity over other kinases, including PKC, cAMP-dependent protein kinase, MLCK and PAK."	1	0.1	0.95	0	some blebbly cells
39	D_3	d19	FLI-06	GPCR	Notch	2300	FLI-06 is a novel inhibitor of Notch signaling with EC50 of 2.3 ’_Î_M.	1	0.7	0.7	0	lots of blebby cells and some no cells
40	D_2	d28	Y-27632 2HCl	kinase	"Autophagy,ROCK"	140	"Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM, exhibits >200-fold selectivity over other kinases, including PKC, cAMP-dependent protein kinase, MLCK and PAK."	1	0.05	1	0	a couple of blebby cells
41	C_11	d32	Triciribine	kinase	Akt	130	"Triciribine is a DNA synthesis inhibitor, also inhibits Akt and HIV-1 with IC50 of 130 nM and 20 nM, respectively; does not inhibit PI3K/PDK1; 5000-fold less active in cells lacking adenosine kinase. Phase 1/2."	0	0	1	0	slightly disorganized
42	C_10	d24	Foretinib (GSK1363089)	kinase	"VEGFR,c-Met"	0.7	"Foretinib (GSK1363089) is an ATP-competitive inhibitor of HGFR and VEGFR, mostly for Met and KDR with IC50 of 0.4 nM and 0.9 nM. Less potent against Ron, Flt-1/3/4, Kit, PDGFR’_Î±/’_Î_ and Tie-2, and little activity to FGFR1 and EGFR. Phase 2."	0	0	0.95	0	slightly disorganized
43	C_9	d29	BMS-777607	kinase	"Axl,c-Met"	3	"BMS-777607 is a Met-related inhibitor for c-Met, Axl, Ron and Tyro3 with IC50 of 3.9 nM, 1.1 nM, 1.8 nM and 4.3 nM, 40-fold more selective for Met-related targets versus Lck, VEGFR-2, and TrkA/B, and more than 500-fold greater selectivity versus all other receptor and non receptor kinases. Phase 1/2."	0	0	1	1	looks pretty normal
44	C_8	d17	GSK1838705A	kinase	"IGF-1R,ALK"	1	"GSK1838705A is a potent IGF-1R inhibitor with IC50 of 2.0 nM, modestly potent to IR and ALK with IC50 of 1.6 nM and 0.5 nM, respectively, and little activity to other protein kinases."	0	0	1	1	looks pretty normal
45	C_7	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
46	C_6	d8	KU-55933 (ATM Kinase Inhibitor)	kinase	ATM/ATR	7	13 and 100000	0	0	1	1	looks pretty normal
47	C_5	d5	Rapamycin (Sirolimus)	kinase	"Autophagy,mTOR"	1	"Rapamycin (Sirolimus, AY-22989, WY-090217) is a specific mTOR inhibitor with IC50 of ~0.1 nM."	1	0.05	1	0	a couple of blebby cells
48	C_4	d14	"Dovitinib (TKI-258, CHIR-258)"	kinase	"FGFR,FLT3,c-Kit,VEGFR,PDGFR"	5	"Dovitinib (TKI258, CHIR258) is a multitargeted RTK inhibitor, mostly for class III (FLT3/c-Kit) with IC50 of 1 nM/2 nM, also potent to class IV (FGFR1/3) and class V (VEGFR1-4) RTKs with IC50 of 8-13 nM, less potent to InsR, EGFR, c-Met, EphA2, Tie2, IGF-1R and HER2. Phase 4."	1	0.8	0.9	0	lots of large blebs
49	C_3	d29	BMS-777607	kinase	"Axl,c-Met"	3	"BMS-777607 is a Met-related inhibitor for c-Met, Axl, Ron and Tyro3 with IC50 of 3.9 nM, 1.1 nM, 1.8 nM and 4.3 nM, 40-fold more selective for Met-related targets versus Lck, VEGFR-2, and TrkA/B, and more than 500-fold greater selectivity versus all other receptor and non receptor kinases. Phase 1/2."	0	0	1	1	looks pretty normal
50	C_2	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
51	B_11	d26	Torin 2	kinase	"ATM/ATR,mTOR"	discuss	"Torin 2 is a potent and selective mTOR inhibitor with IC50 of 0.25 nM; 800-fold greater selectivity for mTOR than PI3K and improved pharmacokinetic properties. Inhibition of ATM/ATR/DNA-PK with EC50 of 28 nM/35 nM/118 nM, respectively."	0	0	1	1	looks pretty normal
52	B_10	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
53	B_9	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
54	B_8	d33	CYC116	kinase	"Aurora Kinase,VEGFR"	9	"CYC116 is a potent inhibitor of Aurora A/B with Ki of 8.0 nM/9.2 nM, is less potent to VEGFR2 (Ki of 44 nM), with 50-fold greater potency than CDKs, not active against PKA, Akt/PKB, PKC, no effect on GSK-3’_Î±/’_Î_, CK2, Plk1 and SAPK2A. Phase 1."	0	0	1	1	looks pretty normal but out of focus
55	B_7	d25	PF-04691502	kinase	"Akt,mTOR,PI3K"	2	"PF-04691502 is an ATP-competitive PI3K(’_Î±/’_Î_/’_Î‚/’_Î_)/mTOR dual inhibitor with Ki of 1.8 nM/2.1 nM/1.6 nM/1.9 nM and 16 nM, little activity against either Vps34, AKT, PDK1, p70S6K, MEK, ERK, p38, or JNK. Phase 2."	1	0.05	0.95	0	a couple of blebby cells
56	B_6	d23	PI-103	kinase	"PI3K,Autophagy,DNA-PK,mTOR"	16	"PI-103 is a multi-targeted PI3K inhibitor for p110’_Î±/’_Î_/’_Î‚/’_Î_ with IC50 of 2 nM/3 nM/3 nM/15 nM, less potent to mTOR/DNA-PK with IC50 of 30 nM/23 nM."	1	0.05	0.95	0	a couple of blebby cells
57	B_5	d8	KU-55933 (ATM Kinase Inhibitor)	kinase	ATM/ATR	7	13 and 100000	0	0	1	0	cells narrower than normal
58	B_4	d27	LY294002	kinase	"Autophagy,PI3K"	0.6	"LY294002 is the first synthetic molecule known to inhibit PI3K’_Î±/’_Î‚/’_Î_ with IC50 of 0.5 ’_Î_M/0.57 ’_Î_M/0.97 ’_Î_M, respectively; more stable in solution than Wortmannin, and also blocks autophagosome formation."	0	0	1	1	looks pretty normal
59	B_3	d18	AG-490 (Tyrphostin B42)	kinase	"JAK,EGFR"	100	"AG-490 (Tyrphostin B42) is an inhibitor of EGFR with IC50 of 0.1 ’_Î_M, 135-fold more selective for EGFR versus ErbB2, also inhibits JAK2 with no activity to Lck, Lyn, Btk, Syk and Src."	0	0	1	0	weird organization and one patch of vertical growth
60	B_2	d18	AG-490 (Tyrphostin B42)	kinase	"JAK,EGFR"	100	"AG-490 (Tyrphostin B42) is an inhibitor of EGFR with IC50 of 0.1 ’_Î_M, 135-fold more selective for EGFR versus ErbB2, also inhibits JAK2 with no activity to Lck, Lyn, Btk, Syk and Src."	0	0	1	1	looks pretty normal
