Topic	Panel Type	Figure	Panel	Subpanel	Filename
fibro P3	graph	S12	A	NA	fibro_TFs_nUpVsExp_noLOESS_vertJit_wTested.pdf
fibro P3	graph	S12	B	NA	fibro_GTEx_indiv_nDEup_vs_JSsp_GM00942_noSkinHeart_flip.pdf
fibro specificity	graph	S13	A	NA	fibro_GTEx_indiv_nDEup_vs_JSsp_GM00942_withSkinHeart_flip_onlyBarriers.pdf
fibro specificity	graph	S13	B	NA	fibro_GTEx_indiv_nDEup_vs_JSsp_GM00942_noSkinHeart_flip_onlyBarriers.pdf
fibro specificity	graph	S13	C	NA	fibro_GTEx_indiv_nDEup_vs_JSsp_Skin_withFibsAndiCard_flip_onlyBarriers.pdf
fibro specificity	graph	S13	D	NA	fibro_GTEx_indiv_nDEup_vs_JSsp_Skin_noFibsAndiCard_flip_onlyBarriers.pdf
fibro reprogram	schematic	S14	A	NA	NA
fibro reprogram	graph	S14	B	NA	IAMhiFT3b/colony_percKD_dotsNbars_both_bothErr_hitsOnly.pdf
fibro reprogram	graph	S14	C	NA	IAMhiFT4b/colony_percKD_dotsNbars_both_bothErr_hitsOnly_forfig.pdf
fibro reprogram	graph	S15	A	NA	IAMhiFT3a/colony_counts_hits_dotsNbars_forSlide.pdf
fibro reprogram	graph	S15	B	NA	IAMhiFT4a/colony_counts_dotsNbars_forSlide.pdf
fibro reprogram	graph	S15	C	NA	IAMhiFT3c4c/colony_counts_dotsNbars_forSlide.pdf
MEFiPSC	schematic	S16	A	NA	NA
MEFiPSC	schematic	S16	B	NA	NA
MEFiPSC	graph	S16	C	NA	borkent_tfOnly_responsiveUp_minTPM30.pdf
MEFiPSC	graph	S16	D	NA	borkent_fracEnriched_perFilter_minTPM30.pdf
MEFiPSC	graph	S16	E	NA	borkent_foldChangeEnriched_perFilter_minTPM30.pdf
MEFiPSC	graph	S16	F	NA	borkent_absChangeEnriched_perFilter_minTPM30.pdf
MEFiPSC	graph	S16	G	NA	fibro_GTEx_indiv_nDEup_vs_JSsp_GM00942_noSkinHeart_flip_onlyBorkent_minTPM30.pdf
MEFiPSC	graph	S16	H	NA	borkent_tfOnly_responsiveUpVsSpecific_minTPM30.pdf
transdiff_7UP	graph	S17	A	NA	iCard_grey_markers_tfOnly_nUpDown_w7UP_wMarkers.pdf
transdiff_7UP	schematic	S17	B	NA	NA
transdiff_7UP	graph	S17	C	NA	immHCF-30_scan_counts_empty_7F_14_7UP_scatterFull.pdf
