imageID	platePosition	condition	drugID	Product.Name	Class	Targets	medianIC50..nM.	InfoFromSelleckchem	GeneSymbolList	confluency	percentBlebbing	percentBeating_coldVideos_old	percentBeating_newVideos_newBatchSameDrug	manualInclude	notes_coldVideos_old	notes_newVideos_newBatchSameDrug
27	E_5	d54	d54	BAY 11-7082	kinase	"IÎºB/IKK,E2 conjugating"	5000	"BAY 11-7082 is a NF-ÎºB inhibitor, inhibits TNFÎ±-induced IÎºBÎ± phosphorylation with IC50 of 10 Î¼M."	NFKB1^NFKB2^RELA^RELB^REL	0.4	1	0	0	0	messed up	almost all dead
28	E_4	d49	d49	Sotrastaurin	kinase	PKC	1.5	"Sotrastaurin is a potent and selective pan-PKC inhibitor, mostly for PKCÎ¸ with Ki of 0.22 nM; inactive to PKCÎ¶. Phase 1/2."	PRKCA^PRKCB^PRKCG^PRKCE^PRKCD^PRKCZ^PRKCH^PRKCI^PRKCQ	1	0.1	0	0.7	1	no beating but cells look ok	looks good
29	E_3	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.2	0.2	0.2	1	looks ok	some beating and patches of blebs
30	E_2	d36	d36	AT9283	kinase	"JAK,Aurora Kinase,Bcr-Abl"	10	"AT9283 is a potent JAK2/3 inhibitor with IC50 of 1.2 nM/1.1 nM; also potent to Aurora A/B, Abl(T315I). Phase 1/2."	JAK2^JAK3^AURKA^AURKB^ABL1	0.95	0.7	0	0.1	1	no beating and gravelly but nearly all still alive	one patch of low confluency some stringyness but mostly good
31	D_2	d41	d41	PF-573228	kinase	FAK	4	"PF-573228 is an ATP-competitive inhibitor of FAK with IC50 of 4 nM, ~50- to 250-fold selective for FAK than Pyk2, CDK1/7 and GSK-3Î²."	PTK2^CDK1^CDK7^GSK3A^GSK3B^PTK2B	1	0.4	0.3	0.1	1	looks ok	little beating but morph ok
32	D_3	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.2	0.1	0.15	1	looks ok	some cells pulling apart from each other but otherwise ok
33	D_4	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.1	0.4	0.4	1	looks ok with a patch of vertical growth	one patch of low confluency but good
34	D_5	d39	d39	BX-912	kinase	PDK-1	200	"BX912 is a potent and specific PDK1 inhibitor with IC50 of 12 nM, 9- and 105- fold greater selectivity for PDK1 than PKA and PKC, respectively. In comparison to GSK3Î², selectivity for PDK1 is 600-fold."	PDK1^PRKACA^PRKACB	0.4	1	0	0	0	messed up	all dying
35	D_6	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.1	0.3	0.2	1	looks ok	looks ok
36	D_7	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.1	0.1	0.2	1	looks ok	little beating but ok
37	D_8	d57	d57	AZ191	kinase	Others	50	"AZ191 is a potent and selective DYRK1B inhibitor with IC50 of 17 nM, about 5- and 110-fold selectivity over DYRK1A and DYRK2, respectively."	DYRK1B^DYRK1A^DYRK2	0.9	0.5	0.1	0	0.5	tough to examine video due to focus	lots of large blebs
38	D_9	d47	d47	GSK2126458 (GSK458)	kinase	"PI3K,mTOR"	6	"GSK2126458 is a highly selective and potent inhibitor of p110Î±/Î²/Î´/Î³, mTORC1/2 with Ki of 0.019 nM/0.13 nM/0.024 nM/0.06 nM and 0.18 nM/0.3 nM, respectively. Phase 1."	MTOR^PIK3CA^PIK3CB^PIK3CG^PIK3CD^RICTOR	0.8	1	0	0.5	1	no motion but most cells still alive albeit gravelly	one patch of low confluency and some blebs but good
39	D_10	d56	d56	RKI-1447	kinase	ROCK	10	"RKI-1447 is a potent inhibitor of ROCK1 and ROCK2, with IC50 of 14.5 nM and 6.2 nM, respectively, has anti-invasive and antitumor activities."	ROCK1^ROCK2	1	0.2	0.4	0.1	1	looks ok	minimal beating but morph ok
40	D_11	d50	d50	AZD4547	kinase	FGFR	2	"AZD4547 is a novel selective FGFR inhibitor targeting FGFR1/2/3 with IC50 of 0.2 nM/2.5 nM/1.8 nM, weaker activity against FGFR4, VEGFR2(KDR), and little activity observed against IGFR, CDK2, and p38. Phase 1/2."	FGFR1^FGFR2^FGFR3^FGFR4^KDR^IGF2^CDK2^MAPK14	1	0.5	0.1	0.1	1	looks ok	minimal beating but morph ok
41	C_11	d42	d42	LY2784544	kinase	JAK	48	"LY2784544 is a potent JAK2 inhibitor with IC50 of 3 nM, effective in JAK2V617F, 8- and 20-fold selective versus JAK1 and JAK3. Phase 2."	JAK1^JAK2^JAK3	0.9	0.3	0.05	0.05	1	minimal motion but cells look ok	minimal motion and large patch of reduced cellularity
42	C_10	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.2	0	0.7	1	no beating but cells look ok	looks good
43	C_9	d57	d57	AZ191	kinase	Others	50	"AZ191 is a potent and selective DYRK1B inhibitor with IC50 of 17 nM, about 5- and 110-fold selectivity over DYRK1A and DYRK2, respectively."	DYRK1B^DYRK1A^DYRK2	0.85	1	0	0.05	0.5	messed up	all blebby but still some motion
44	C_8	d53	d53	GW441756	kinase	Trk receptor	2	"GW441756 is a potent, selective inhibitor of TrkA with IC50 of 2 nM, with very little activity to c-Raf1 and CDK2."	NTRK1^RAF1^CDK2	1	0.1	0.05	0.1	1	little beating but cells look ok	little beating but morph ok
45	C_7	d55	d55	AZ20	kinase	ATM/ATR	5	"AZ20 is a novel potent and selective inhibitor of ATR kinase with IC50 of 5 nM, 8-fold selectivity over mTOR."	MTOR^ATR	1	0.2	0.2	0.4	1	looks ok	one patch of low confluency some stringyness but mostly good
46	C_6	d38	d38	CUDC-101	kinase	"HDAC,HER2,EGFR"	13	"CUDC-101 is a potent multi-targeted inhibitor against HDAC, EGFR and HER2 with IC50 of 4.4 nM, 2.4 nM, and 15.7 nM, and inhibits class I/II HDACs, but not class III, Sir-type HDACs. Phase 1."	EGFR^ERBB2^HDAC1^HDAC2^HDAC3^HDAC8^HDAC4^HDAC5^HDAC7^HDAC9^HDAC6^HDAC10	0.8	0.8	0	0.05	0.8	cells still alive but stringy and not beating	very stringy and very slow beats
47	C_5	d40	d40	AEE788 (NVP-AEE788)	kinase	"HER2,VEGFR,EGFR"	52	"AEE788 is a potent inhibitor of EGFR and HER2/ErbB2 with IC50 of 2 nM and 6 nM, less potent to VEGFR2/KDR, c-Abl, c-Src, and Flt-1, does not inhibit Ins-R, IGF-1R, PKCÎ± and CDK1. Phase 1/2."	EGFR^ERBB2^KDR^ABL1^SRC^FLT1	0.7	1	0	0	0	messed up	all dying
48	C_4	d53	d53	GW441756	kinase	Trk receptor	2	"GW441756 is a potent, selective inhibitor of TrkA with IC50 of 2 nM, with very little activity to c-Raf1 and CDK2."	NTRK1^RAF1^CDK2	1	0.2	0.05	0.05	1	minimal motion but cells look ok	very slow beats but morph ok
49	C_3	d58	d58	CEP-32496	kinase	"CSF-1R,Raf"	2	"CEP-32496 is a highly potent inhibitor of BRAF(V600E/WT) and c-Raf with Kd of 14 nM/36 nM and 39 nM, also potent to Abl-1, c-Kit, Ret, PDGFRÎ² and VEGFR2, respectively; insignificant affinity for MEK-1, MEK-2, ERK-1 and ERK-2. Phase 1/2."	BRAF^RAF1^ABL1^KIT^RET^PDGFRA^KDR	1	0.2	0	0.3	1	no beating but cells look ok	looks ok
50	C_2	d44	d44	Forskolin	GPCR	cAMP	500	"Forskolin is a ubiquitous activator of eukaryotic adenylyl cyclase (AC), commonly used to raise levels of cAMP in the study and research of cell physiology."	ADCY1^ADCY2^ADCY3^ADCY4^ADCY5^ADCY6^ADCY7^ADCY8^ADCY9^ADCY10	1	0.4	0.1	0.1	1	a bit gravelly and stringy but some motion	stringy but some motion
51	B_2	d48	d48	TG101209	kinase	"JAK,FLT3,c-RET"	21	"TG101209 is a selective JAK2 inhibitor with IC50 of 6 nM, less potent to Flt3 and RET with IC50 of 25 nM and 17 nM, ~30-fold selective for JAK2 than JAK3, sensitive to JAK2V617F and MPLW515L/K mutations."	JAK2^JAK3^FLT3^RET	0.6	1	0	0.05	0.5	messed up	lots of large blebs but some remaining motion
52	B_3	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.1	0.05	0.6	1	looks ok	looks good
53	B_4	d36	d36	AT9283	kinase	"JAK,Aurora Kinase,Bcr-Abl"	10	"AT9283 is a potent JAK2/3 inhibitor with IC50 of 1.2 nM/1.1 nM; also potent to Aurora A/B, Abl(T315I). Phase 1/2."	JAK2^JAK3^AURKA^AURKB^ABL1	1	0.3	0.01	0.05	1	looks ok	very slow small beats but morph ok
54	B_5	d35	d35	BMS-754807	kinase	"IGF-1R,Trk receptor,c-Met"	7.4	"BMS-754807 is a potent and reversible inhibitor of IGF-1R/InsR with IC50 of 1.8 nM/1.7 nM, less potent to Met, Aurora A/B, TrkA/B and Ron, and shows little activity to Flt3, Lck, MK2, PKA, PKC etc. Phase 1/2."	IGF1R^INSR^MET^AURKA^AURKB^NTRK1^NTRK2^MST1R	0.3	1	0	0.3	0.7	messed up	lots of blebs but good remaining beating
55	B_6	d41	d41	PF-573228	kinase	FAK	4	"PF-573228 is an ATP-competitive inhibitor of FAK with IC50 of 4 nM, ~50- to 250-fold selective for FAK than Pyk2, CDK1/7 and GSK-3Î²."	PTK2^CDK1^CDK7^GSK3A^GSK3B^PTK2B	0.85	0.5	0.1	0.1	1	some patches of blebs but most still alive and some beating	some beating and blebs
56	B_7	d45	d45	PP121	kinase	"DNA-PK,PDGFR,mTOR"	11	"PP-121 is a multi-targeted inhibitor of PDGFR, Hck, mTOR, VEGFR2, Src and Abl with IC50 of 2 nM, 8 nM, 10 nM, 12 nM, 14 nM and 18 nM, also inhibits DNA-PK with IC50 of 60 nM."	PDGFRA^PDGFRB^HCK^KDR^SRC^ABL1^MTOR^PRKDC	1	0.4	0	0.05	1	no beating and gravelly but all still alive	minimal beating and a fair number of blebs
57	B_8	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.1	0.01	0.2	1	minimal motion but cells look ok	looks ok but less beating than others
58	B_9	d54	d54	BAY 11-7082	kinase	"IÎºB/IKK,E2 conjugating"	5000	"BAY 11-7082 is a NF-ÎºB inhibitor, inhibits TNFÎ±-induced IÎºBÎ± phosphorylation with IC50 of 10 Î¼M."	NFKB1^NFKB2^RELA^RELB^REL	0.4	1	0	0	0	messed up	all dead
59	B_10	d37	d37	Regorafenib (BAY 73-4506)	kinase	"c-RET,VEGFR"	10	"Regorafenib (BAY 73-4506) is a multi-target inhibitor for VEGFR1, VEGFR2, VEGFR3, PDGFRÎ², Kit, RET and Raf-1 with IC50 of 13 nM/4.2 nM/46 nM, 22 nM, 7 nM, 1.5 nM and 2.5 nM, respectively."	FLT1^KDR^PDGFRA^KIT^RET^RAF1	1	0.2	0.1	0.1	1	looks ok with patch of vertical growth	some beating
60	B_11	d46	d46	DCC-2036 (Rebastinib)	kinase	Bcr-Abl	3	"DCC-2036 is a conformational control Bcr-Abl inhibitor for Abl1(WT) and Abl1(T315I) with IC50 of 0.8 nM and 4 nM, also inhibits SRC, LYN, FGR, HCK, KDR, FLT3, and Tie-2, and low activity to seen towards c-Kit. Phase 1/2."	ABL1^SRC^LYN^FGR^HCK^KDR^FLT3^TEK	1	0.3	0.1	0.01	1	a bit gravelly but some motion	gravelly and minimal beating
